Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,21246,solar,26251,134496,57053003
,,,12450,wind,-86,143700,57043799
,,,12738,wind,4080,168056,57019443
,,,62698,wind,285,173999,57013500
,,,10098,wind,856,181747,57005752
,,,56110,solar,23864,303893,56883606
,,,21474,wind,-299,314937,56872562
,,,62691,wind,943,323120,56864379
,,,33299,wind,673,333196,56854303
,,,33729,solar,24711,459190,56728309
,,,40306,solar,23413,579816,56607683
,,,34056,solar,23650,702176,56485323
,,,62046,wind,-448,706935,56480564
,,,45502,wind,-152,714004,56473495
,,,14452,wind,1077,723302,56464197
,,,61919,solar,24988,850555,56336944
,,,55042,wind,1056,859292,56328207
,,,44716,wind,348,865959,56321540
,,,41280,wind,2844,885016,56302483
,,,45059,wind,1792,904435,56283064
,,,46108,wind,255,910691,56276808
,,,20302,wind,1712,926949,56260550
,,,30304,wind,555,933902,56253597
,,,61117,wind,723,942149,56245350
,,,24138,solar,25589,1073321,56114178
