Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,10345,wind,0,79327,57108172
,,,10345,wind,-2,79327,57108172
,,,11235,wind,0,129809,57057690
,,,2758,wind,0,169606,57017893
,,,15348,wind,0,197753,56989746
,,,2157,wind,0,236055,56951444
,,,10345,wind,-2,236055,56951444
,,,7045,wind,0,236055,56951444
,,,11025,solar,0,747155,56440344
,,,10345,wind,-2,747155,56440344
,,,17742,solar,1,1269845,55917654
,,,3739,wind,0,1330150,55857349
,,,10345,wind,-2,1330150,55857349
,,,10345,wind,-2,1330150,55857349
,,,10345,wind,-2,1330150,55857349
,,,10345,wind,-2,1330150,55857349
,,,3528,wind,0,1362957,55824542
,,,11025,solar,-2,1362957,55824542
,,,11025,solar,-2,1362957,55824542
,,,15226,wind,0,1394940,55792559
,,,10642,wind,0,1505059,55682440
,,,2642,wind,0,1537602,55649897
,,,11025,solar,-2,1537602,55649897
,,,2157,wind,-2,1537602,55649897
,,,2758,wind,-2,1537602,55649897
,,,3147,solar,0,2018587,55168912
,,,5570,solar,1,2543462,54644037
,,,11025,solar,-2,2543462,54644037
,,,17644,solar,0,3051617,54135882
,,,11235,wind,-2,3051617,54135882
,,,11844,solar,0,3530417,53657082
,,,17742,solar,-2,3530417,53657082
,,,4222,wind,0,3573780,53613719
,,,12042,solar,0,4052865,53134634
,,,17742,solar,-2,4052865,53134634
,,,9962,solar,0,4556270,52631229
,,,11025,solar,-2,4556270,52631229
,,,11025,solar,-2,4556270,52631229
,,,10345,wind,-2,4556270,52631229
,,,10345,wind,-2,4556270,52631229
,,,11235,wind,-2,4556270,52631229
,,,11142,wind,0,4650950,52536549
,,,11235,wind,-2,4650950,52536549
,,,2943,solar,0,5135925,52051574
,,,10144,wind,0,5203698,51983801
,,,3560,wind,0,5245633,51941866
,,,11025,solar,-2,5245633,51941866
,,,17742,solar,-2,5245633,51941866
,,,17742,solar,-2,5245633,51941866
,,,14253,solar,0,5733458,51454041
,,,10345,wind,-2,5733458,51454041
,,,6446,wind,0,5762545,51424954
,,,6540,solar,0,6245525,50941974
,,,2157,wind,-2,6245525,50941974
,,,5145,wind,0,6265984,50921515
,,,2157,wind,-2,6265984,50921515
,,,11025,solar,-2,6265984,50921515
,,,11025,solar,-2,6265984,50921515
,,,3547,wind,0,6301311,50886188
,,,2157,wind,-2,6301311,50886188
,,,10247,wind,0,6395372,50792127
,,,2157,wind,-2,6395372,50792127
,,,11235,wind,-2,6395372,50792127
,,,11235,wind,-2,6395372,50792127
,,,13552,wind,0,6415474,50772025
,,,13032,solar,0,6912514,50274985
,,,4540,wind,0,6940630,50246869
,,,4446,wind,0,6987440,50200059
,,,11235,wind,-2,6987440,50200059
,,,15841,solar,0,7495215,49692284
,,,17742,solar,-2,7495215,49692284
,,,7146,wind,0,7502087,49685412
,,,2933,solar,0,7992667,49194832
,,,11025,solar,-2,7992667,49194832
,,,11235,wind,-2,7992667,49194832
,,,14153,wind,0,8019855,49167644
,,,8148,wind,0,8072004,49115495
,,,11659,wind,0,8097641,49089858
,,,11235,wind,-2,8097641,49089858
,,,11025,solar,-2,8097641,49089858
,,,17742,solar,-2,8097641,49089858
,,,17742,solar,-2,8097641,49089858
,,,10345,wind,-2,8097641,49089858
,,,11235,wind,-2,8097641,49089858
,,,5338,solar,0,8568081,48619418
,,,5044,solar,0,9044411,48143088
,,,7968,solar,1,9554751,47632748
,,,14322,wind,0,9607998,47579501
,,,11235,wind,-2,9607998,47579501
,,,11025,solar,-2,9607998,47579501
,,,12220,wind,0,9674039,47513460
,,,15933,wind,0,9711311,47476188
,,,11025,solar,-2,9711311,47476188
