Episode,Total Reward,Total Cost,Invalid Actions,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,,,12555,solar,0,488299,56699200
,,,,,3455,wind,0,519502,56667997
,,,,,7137,wind,0,585965,56601534
,,,,,14650,wind,0,623755,56563744
,,,,,13252,wind,0,655752,56531747
,,,,,4644,wind,0,673514,56513985
,,,,,10238,wind,0,761510,56425989
,,,,,12858,wind,0,784216,56403283
,,,,,13022,wind,0,994101,56193398
,,,,,5222,solar,0,1533036,55654463
,,,,,7418,wind,0,1585766,55601733
,,,,,3151,wind,0,1619604,55567895
,,,,,13447,wind,0,1639913,55547586
,,,,,6950,solar,0,2130303,55057196
,,,,,16742,solar,0,2637698,54549801
,,,,,17444,solar,0,3141103,54046396
,,,,,5538,wind,0,3229595,53957904
,,,,,16060,wind,0,3272574,53914925
